,,,Common Name,Molecular Formula,Molecular Weight (average),Monoisotopic Mass,CAS # (without dashes),Classification 1,Classification 2,"M7412AA = CF, 40-min Method RT","RI (M7412AA = CF, 40-min)","M7411AA = CP, 40-min Method RT","RI (M7411AA = CF, 40-min)","M7412AA = CF, 20-min Method RT","RI (M7412AA = CF, 20-min)","M7414AA = CF, 5x15 Method RT",User Field,Formal CAS #,Common Name,Method RT,ISTD,Precursor Ion,MS1 Resolution,Product Ion,MS2 Resolution,Dwell Time (ms),CE (V),Left RT Delta,Right RT Delta,RT Window,Response Scaled within the Database,Relative Intensity of Transitions,Quant (Q0) and Qual,Target Compounds,Chinese Name,China GB Method Group,Japanese Name,,Synonym(s),,,,,
5-42,5,42,"2,2',3,4,4',5,6-Heptachlorobiphenyl (BZ #181)",C12H3Cl7,395.3,391.8054,74472472,Pollutant,PCB,27.882,2460,28.449,2452,13.856,2489,14.029,,74472-47-2,"2,2',3,4,4',5,6-Heptachlorobiphenyl (BZ #181)",13.856,false,358.8,Wide,323.8,Wide,10,15,0.1,0.1,0.1,710,61%,Q5,#N/A,,,,,,,,,,
6-42,6,42,"2,2',3,4,4',5,6-Heptachlorobiphenyl (BZ #181)",C12H3Cl7,395.3,391.8054,74472472,Pollutant,PCB,27.882,2460,28.449,2452,13.856,2489,14.029,,74472-47-2,"2,2',3,4,4',5,6-Heptachlorobiphenyl (BZ #181)",13.856,false,323.8,Wide,253.8,Wide,10,35,0.1,0.1,0.1,670,58%,Q6,#N/A,,,,,,,,,,
7-42,7,42,"2,2',3,4,4',5,6-Heptachlorobiphenyl (BZ #181)",C12H3Cl7,395.3,391.8054,74472472,Pollutant,PCB,27.882,2460,28.449,2452,13.856,2489,14.029,,74472-47-2,"2,2',3,4,4',5,6-Heptachlorobiphenyl (BZ #181)",13.856,false,251.9,Wide,216.9,Wide,10,20,0.1,0.1,0.1,600,52%,Q7,#N/A,,,,,,,,,,
8-42,8,42,"2,2',3,4,4',5,6-Heptachlorobiphenyl (BZ #181)",C12H3Cl7,395.3,391.8054,74472472,Pollutant,PCB,27.882,2460,28.449,2452,13.856,2489,14.029,,74472-47-2,"2,2',3,4,4',5,6-Heptachlorobiphenyl (BZ #181)",13.856,false,323.8,Wide,251.8,Wide,10,35,0.1,0.1,0.1,450,39%,Q8,#N/A,,,,,,,,,,
9-42,9,42,"2,2',3,4,4',5,6-Heptachlorobiphenyl (BZ #181)",C12H3Cl7,395.3,391.8054,74472472,Pollutant,PCB,27.882,2460,28.449,2452,13.856,2489,14.029,,74472-47-2,"2,2',3,4,4',5,6-Heptachlorobiphenyl (BZ #181)",13.856,false,251.9,Wide,181.9,Wide,10,30,0.1,0.1,0.1,380,33%,Q9,#N/A,,,,,,,,,,
0-43,0,43,"2,2',3,4,4',5,6'-Heptachlorobiphenyl (BZ #182)",C12H3Cl7,395.3,391.8054,60145235,Pollutant,PCB,27.012,2404,27.692,2395,13.408,2432,13.693,,60145-23-5,"2,2',3,4,4',5,6'-Heptachlorobiphenyl (BZ #182)",13.408,false,393.8,Wide,323.8,Wide,10,25,0.1,0.1,0.1,1300,100%,Q0,#N/A,,,,,,,,,,
1-43,1,43,"2,2',3,4,4',5,6'-Heptachlorobiphenyl (BZ #182)",C12H3Cl7,395.3,391.8054,60145235,Pollutant,PCB,27.012,2404,27.692,2395,13.408,2432,13.693,,60145-23-5,"2,2',3,4,4',5,6'-Heptachlorobiphenyl (BZ #182)",13.408,false,393.8,Wide,358.8,Wide,10,15,0.1,0.1,0.1,1050,81%,Q1,#N/A,,,,,,,,,,
2-43,2,43,"2,2',3,4,4',5,6'-Heptachlorobiphenyl (BZ #182)",C12H3Cl7,395.3,391.8054,60145235,Pollutant,PCB,27.012,2404,27.692,2395,13.408,2432,13.693,,60145-23-5,"2,2',3,4,4',5,6'-Heptachlorobiphenyl (BZ #182)",13.408,false,395.8,Wide,360.8,Wide,10,15,0.1,0.1,0.1,840,65%,Q2,#N/A,,,,,,,,,,
3-43,3,43,"2,2',3,4,4',5,6'-Heptachlorobiphenyl (BZ #182)",C12H3Cl7,395.3,391.8054,60145235,Pollutant,PCB,27.012,2404,27.692,2395,13.408,2432,13.693,,60145-23-5,"2,2',3,4,4',5,6'-Heptachlorobiphenyl (BZ #182)",13.408,false,395.8,Wide,325.8,Wide,10,25,0.1,0.1,0.1,830,64%,Q3,#N/A,,,,,,,,,,
4-43,4,43,"2,2',3,4,4',5,6'-Heptachlorobiphenyl (BZ #182)",C12H3Cl7,395.3,391.8054,60145235,Pollutant,PCB,27.012,2404,27.692,2395,13.408,2432,13.693,,60145-23-5,"2,2',3,4,4',5,6'-Heptachlorobiphenyl (BZ #182)",13.408,false,395.8,Wide,323.8,Wide,10,25,0.1,0.1,0.1,820,63%,Q4,#N/A,,,,,,,,,,
5-43,5,43,"2,2',3,4,4',5,6'-Heptachlorobiphenyl (BZ #182)",C12H3Cl7,395.3,391.8054,60145235,Pollutant,PCB,27.012,2404,27.692,2395,13.408,2432,13.693,,60145-23-5,"2,2',3,4,4',5,6'-Heptachlorobiphenyl (BZ #182)",13.408,false,323.8,Wide,253.8,Wide,10,35,0.1,0.1,0.1,790,61%,Q5,#N/A,,,,,,,,,,
6-43,6,43,"2,2',3,4,4',5,6'-Heptachlorobiphenyl (BZ #182)",C12H3Cl7,395.3,391.8054,60145235,Pollutant,PCB,27.012,2404,27.692,2395,13.408,2432,13.693,,60145-23-5,"2,2',3,4,4',5,6'-Heptachlorobiphenyl (BZ #182)",13.408,false,358.8,Wide,323.8,Wide,10,15,0.1,0.1,0.1,760,58%,Q6,#N/A,,,,,,,,,,
7-43,7,43,"2,2',3,4,4',5,6'-Heptachlorobiphenyl (BZ #182)",C12H3Cl7,395.3,391.8054,60145235,Pollutant,PCB,27.012,2404,27.692,2395,13.408,2432,13.693,,60145-23-5,"2,2',3,4,4',5,6'-Heptachlorobiphenyl (BZ #182)",13.408,false,251.9,Wide,216.9,Wide,10,20,0.1,0.1,0.1,740,57%,Q7,#N/A,,,,,,,,,,
8-43,8,43,"2,2',3,4,4',5,6'-Heptachlorobiphenyl (BZ #182)",C12H3Cl7,395.3,391.8054,60145235,Pollutant,PCB,27.012,2404,27.692,2395,13.408,2432,13.693,,60145-23-5,"2,2',3,4,4',5,6'-Heptachlorobiphenyl (BZ #182)",13.408,false,323.8,Wide,251.8,Wide,10,35,0.1,0.1,0.1,520,40%,Q8,#N/A,,,,,,,,,,
9-43,9,43,"2,2',3,4,4',5,6'-Heptachlorobiphenyl (BZ #182)",C12H3Cl7,395.3,391.8054,60145235,Pollutant,PCB,27.012,2404,27.692,2395,13.408,2432,13.693,,60145-23-5,"2,2',3,4,4',5,6'-Heptachlorobiphenyl (BZ #182)",13.408,false,251.9,Wide,181.9,Wide,10,35,0.1,0.1,0.1,480,37%,Q9,#N/A,,,,,,,,,,
0-44,0,44,"2,2',3,4,4',5',6-Heptachlorobiphenyl (BZ #183)",C12H3Cl7,395.3,391.8054,52663691,Pollutant,PCB,27.193,2416,27.854,2406,13.497,2443,13.763,,52663-69-1,"2,2',3,4,4',5',6-Heptachlorobiphenyl (BZ #183)",13.497,false,393.8,Wide,323.8,Wide,10,30,0.1,0.1,0.1,1310,100%,Q0,#N/A,,,,,,,,,,
1-44,1,44,"2,2',3,4,4',5',6-Heptachlorobiphenyl (BZ #183)",C12H3Cl7,395.3,391.8054,52663691,Pollutant,PCB,27.193,2416,27.854,2406,13.497,2443,13.763,,52663-69-1,"2,2',3,4,4',5',6-Heptachlorobiphenyl (BZ #183)",13.497,false,393.8,Wide,358.8,Wide,10,15,0.1,0.1,0.1,910,69%,Q1,#N/A,,,,,,,,,,
2-44,2,44,"2,2',3,4,4',5',6-Heptachlorobiphenyl (BZ #183)",C12H3Cl7,395.3,391.8054,52663691,Pollutant,PCB,27.193,2416,27.854,2406,13.497,2443,13.763,,52663-69-1,"2,2',3,4,4',5',6-Heptachlorobiphenyl (BZ #183)",13.497,false,395.8,Wide,325.8,Wide,10,30,0.1,0.1,0.1,830,63%,Q2,#N/A,,,,,,,,,,
3-44,3,44,"2,2',3,4,4',5',6-Heptachlorobiphenyl (BZ #183)",C12H3Cl7,395.3,391.8054,52663691,Pollutant,PCB,27.193,2416,27.854,2406,13.497,2443,13.763,,52663-69-1,"2,2',3,4,4',5',6-Heptachlorobiphenyl (BZ #183)",13.497,false,395.8,Wide,323.8,Wide,10,30,0.1,0.1,0.1,820,63%,Q3,#N/A,,,,,,,,,,
4-44,4,44,"2,2',3,4,4',5',6-Heptachlorobiphenyl (BZ #183)",C12H3Cl7,395.3,391.8054,52663691,Pollutant,PCB,27.193,2416,27.854,2406,13.497,2443,13.763,,52663-69-1,"2,2',3,4,4',5',6-Heptachlorobiphenyl (BZ #183)",13.497,false,395.8,Wide,360.8,Wide,10,15,0.1,0.1,0.1,720,55%,Q4,#N/A,,,,,,,,,,
5-44,5,44,"2,2',3,4,4',5',6-Heptachlorobiphenyl (BZ #183)",C12H3Cl7,395.3,391.8054,52663691,Pollutant,PCB,27.193,2416,27.854,2406,13.497,2443,13.763,,52663-69-1,"2,2',3,4,4',5',6-Heptachlorobiphenyl (BZ #183)",13.497,false,323.8,Wide,253.8,Wide,10,35,0.1,0.1,0.1,670,51%,Q5,#N/A,,,,,,,,,,
6-44,6,44,"2,2',3,4,4',5',6-Heptachlorobiphenyl (BZ #183)",C12H3Cl7,395.3,391.8054,52663691,Pollutant,PCB,27.193,2416,27.854,2406,13.497,2443,13.763,,52663-69-1,"2,2',3,4,4',5',6-Heptachlorobiphenyl (BZ #183)",13.497,false,358.8,Wide,323.8,Wide,10,15,0.1,0.1,0.1,570,44%,Q6,#N/A,,,,,,,,,,
7-44,7,44,"2,2',3,4,4',5',6-Heptachlorobiphenyl (BZ #183)",C12H3Cl7,395.3,391.8054,52663691,Pollutant,PCB,27.193,2416,27.854,2406,13.497,2443,13.763,,52663-69-1,"2,2',3,4,4',5',6-Heptachlorobiphenyl (BZ #183)",13.497,false,251.9,Wide,216.9,Wide,10,20,0.1,0.1,0.1,550,42%,Q7,#N/A,,,,,,,,,,
8-44,8,44,"2,2',3,4,4',5',6-Heptachlorobiphenyl (BZ #183)",C12H3Cl7,395.3,391.8054,52663691,Pollutant,PCB,27.193,2416,27.854,2406,13.497,2443,13.763,,52663-69-1,"2,2',3,4,4',5',6-Heptachlorobiphenyl (BZ #183)",13.497,false,323.8,Wide,251.8,Wide,10,35,0.1,0.1,0.1,450,34%,Q8,#N/A,,,,,,,,,,
9-44,9,44,"2,2',3,4,4',5',6-Heptachlorobiphenyl (BZ #183)",C12H3Cl7,395.3,391.8054,52663691,Pollutant,PCB,27.193,2416,27.854,2406,13.497,2443,13.763,,52663-69-1,"2,2',3,4,4',5',6-Heptachlorobiphenyl (BZ #183)",13.497,false,251.9,Wide,181.9,Wide,10,30,0.1,0.1,0.1,370,28%,Q9,#N/A,,,,,,,,,,
0-45,0,45,"2,2',3,4,4',5-Hexachlorobiphenyl (BZ #137)",C12H4Cl6,360.9,357.8444,35694065,Pollutant,PCB,26.134,2350,26.875,2340,12.977,2378,13.106,,35694-06-5,"2,2',3,4,4',5-Hexachlorobiphenyl (BZ #137)",12.977,false,359.9,Wide,289.9,Wide,10,25,0.1,0.1,0.1,2120,100%,Q0,#N/A,,,,,,,,,,
1-45,1,45,"2,2',3,4,4',5-Hexachlorobiphenyl (BZ #137)",C12H4Cl6,360.9,357.8444,35694065,Pollutant,PCB,26.134,2350,26.875,2340,12.977,2378,13.106,,35694-06-5,"2,2',3,4,4',5-Hexachlorobiphenyl (BZ #137)",12.977,false,287.9,Wide,217.9,Wide,10,35,0.1,0.1,0.1,1600,75%,Q1,#N/A,,,,,,,,,,
2-45,2,45,"2,2',3,4,4',5-Hexachlorobiphenyl (BZ #137)",C12H4Cl6,360.9,357.8444,35694065,Pollutant,PCB,26.134,2350,26.875,2340,12.977,2378,13.106,,35694-06-5,"2,2',3,4,4',5-Hexachlorobiphenyl (BZ #137)",12.977,false,359.9,Wide,324.9,Wide,10,15,0.1,0.1,0.1,1350,64%,Q2,#N/A,,,,,,,,,,
3-45,3,45,"2,2',3,4,4',5-Hexachlorobiphenyl (BZ #137)",C12H4Cl6,360.9,357.8444,35694065,Pollutant,PCB,26.134,2350,26.875,2340,12.977,2378,13.106,,35694-06-5,"2,2',3,4,4',5-Hexachlorobiphenyl (BZ #137)",12.977,false,361.9,Wide,289.9,Wide,10,25,0.1,0.1,0.1,1210,57%,Q3,#N/A,,,,,,,,,,
4-45,4,45,"2,2',3,4,4',5-Hexachlorobiphenyl (BZ #137)",C12H4Cl6,360.9,357.8444,35694065,Pollutant,PCB,26.134,2350,26.875,2340,12.977,2378,13.106,,35694-06-5,"2,2',3,4,4',5-Hexachlorobiphenyl (BZ #137)",12.977,false,289.9,Wide,217.9,Wide,10,35,0.1,0.1,0.1,1030,49%,Q4,#N/A,,,,,,,,,,
5-45,5,45,"2,2',3,4,4',5-Hexachlorobiphenyl (BZ #137)",C12H4Cl6,360.9,357.8444,35694065,Pollutant,PCB,26.134,2350,26.875,2340,12.977,2378,13.106,,35694-06-5,"2,2',3,4,4',5-Hexachlorobiphenyl (BZ #137)",12.977,false,289.9,Wide,219.9,Wide,10,35,0.1,0.1,0.1,1020,48%,Q5,#N/A,,,,,,,,,,
6-45,6,45,"2,2',3,4,4',5-Hexachlorobiphenyl (BZ #137)",C12H4Cl6,360.9,357.8444,35694065,Pollutant,PCB,26.134,2350,26.875,2340,12.977,2378,13.106,,35694-06-5,"2,2',3,4,4',5-Hexachlorobiphenyl (BZ #137)",12.977,false,359.9,Wide,287.8,Wide,10,25,0.1,0.1,0.1,970,46%,Q6,#N/A,,,,,,,,,,
7-45,7,45,"2,2',3,4,4',5-Hexachlorobiphenyl (BZ #137)",C12H4Cl6,360.9,357.8444,35694065,Pollutant,PCB,26.134,2350,26.875,2340,12.977,2378,13.106,,35694-06-5,"2,2',3,4,4',5-Hexachlorobiphenyl (BZ #137)",12.977,false,324.8,Wide,289.8,Wide,10,15,0.1,0.1,0.1,960,45%,Q7,#N/A,,,,,,,,,,
8-45,8,45,"2,2',3,4,4',5-Hexachlorobiphenyl (BZ #137)",C12H4Cl6,360.9,357.8444,35694065,Pollutant,PCB,26.134,2350,26.875,2340,12.977,2378,13.106,,35694-06-5,"2,2',3,4,4',5-Hexachlorobiphenyl (BZ #137)",12.977,false,361.9,Wide,291.8,Wide,10,25,0.1,0.1,0.1,870,41%,Q8,#N/A,,,,,,,,,,
9-45,9,45,"2,2',3,4,4',5-Hexachlorobiphenyl (BZ #137)",C12H4Cl6,360.9,357.8444,35694065,Pollutant,PCB,26.134,2350,26.875,2340,12.977,2378,13.106,,35694-06-5,"2,2',3,4,4',5-Hexachlorobiphenyl (BZ #137)",12.977,false,218.0,Wide,183.0,Wide,10,20,0.1,0.1,0.1,800,38%,Q9,#N/A,,,,,,,,,,
0-46,0,46,"2,2',3,4,4',5'-Hexachlorobiphenyl (BZ #138)",C12H4Cl6,360.9,357.8444,35065282,Pollutant,PCB,26.421,2368,27.143,2358,13.119,2395,13.282,,35065-28-2,"2,2',3,4,4',5'-Hexachlorobiphenyl (BZ #138)",13.119,false,359.9,Wide,289.9,Wide,10,30,0.1,0.1,0.1,1810,100%,Q0,#N/A,,,,,,,,,,
1-46,1,46,"2,2',3,4,4',5'-Hexachlorobiphenyl (BZ #138)",C12H4Cl6,360.9,357.8444,35065282,Pollutant,PCB,26.421,2368,27.143,2358,13.119,2395,13.282,,35065-28-2,"2,2',3,4,4',5'-Hexachlorobiphenyl (BZ #138)",13.119,false,287.9,Wide,217.9,Wide,10,40,0.1,0.1,0.1,1360,75%,Q1,#N/A,,,,,,,,,,
2-46,2,46,"2,2',3,4,4',5'-Hexachlorobiphenyl (BZ #138)",C12H4Cl6,360.9,357.8444,35065282,Pollutant,PCB,26.421,2368,27.143,2358,13.119,2395,13.282,,35065-28-2,"2,2',3,4,4',5'-Hexachlorobiphenyl (BZ #138)",13.119,false,361.9,Wide,289.9,Wide,10,30,0.1,0.1,0.1,1140,63%,Q2,#N/A,,,,,,,,,,
3-46,3,46,"2,2',3,4,4',5'-Hexachlorobiphenyl (BZ #138)",C12H4Cl6,360.9,357.8444,35065282,Pollutant,PCB,26.421,2368,27.143,2358,13.119,2395,13.282,,35065-28-2,"2,2',3,4,4',5'-Hexachlorobiphenyl (BZ #138)",13.119,false,359.9,Wide,324.9,Wide,10,15,0.1,0.1,0.1,1140,63%,Q3,#N/A,,,,,,,,,,
4-46,4,46,"2,2',3,4,4',5'-Hexachlorobiphenyl (BZ #138)",C12H4Cl6,360.9,357.8444,35065282,Pollutant,PCB,26.421,2368,27.143,2358,13.119,2395,13.282,,35065-28-2,"2,2',3,4,4',5'-Hexachlorobiphenyl (BZ #138)",13.119,false,289.9,Wide,217.9,Wide,10,40,0.1,0.1,0.1,870,48%,Q4,#N/A,,,,,,,,,,
5-46,5,46,"2,2',3,4,4',5'-Hexachlorobiphenyl (BZ #138)",C12H4Cl6,360.9,357.8444,35065282,Pollutant,PCB,26.421,2368,27.143,2358,13.119,2395,13.282,,35065-28-2,"2,2',3,4,4',5'-Hexachlorobiphenyl (BZ #138)",13.119,false,289.9,Wide,219.9,Wide,10,40,0.1,0.1,0.1,870,48%,Q5,#N/A,,,,,,,,,,
6-46,6,46,"2,2',3,4,4',5'-Hexachlorobiphenyl (BZ #138)",C12H4Cl6,360.9,357.8444,35065282,Pollutant,PCB,26.421,2368,27.143,2358,13.119,2395,13.282,,35065-28-2,"2,2',3,4,4',5'-Hexachlorobiphenyl (BZ #138)",13.119,false,359.9,Wide,287.8,Wide,10,30,0.1,0.1,0.1,830,46%,Q6,#N/A,,,,,,,,,,
7-46,7,46,"2,2',3,4,4',5'-Hexachlorobiphenyl (BZ #138)",C12H4Cl6,360.9,357.8444,35065282,Pollutant,PCB,26.421,2368,27.143,2358,13.119,2395,13.282,,35065-28-2,"2,2',3,4,4',5'-Hexachlorobiphenyl (BZ #138)",13.119,false,361.9,Wide,291.8,Wide,10,30,0.1,0.1,0.1,800,44%,Q7,#N/A,,,,,,,,,,
8-46,8,46,"2,2',3,4,4',5'-Hexachlorobiphenyl (BZ #138)",C12H4Cl6,360.9,357.8444,35065282,Pollutant,PCB,26.421,2368,27.143,2358,13.119,2395,13.282,,35065-28-2,"2,2',3,4,4',5'-Hexachlorobiphenyl (BZ #138)",13.119,false,324.8,Wide,289.8,Wide,10,15,0.1,0.1,0.1,790,44%,Q8,#N/A,,,,,,,,,,
9-46,9,46,"2,2',3,4,4',5'-Hexachlorobiphenyl (BZ #138)",C12H4Cl6,360.9,357.8444,35065282,Pollutant,PCB,26.421,2368,27.143,2358,13.119,2395,13.282,,35065-28-2,"2,2',3,4,4',5'-Hexachlorobiphenyl (BZ #138)",13.119,false,218.0,Wide,183.0,Wide,10,20,0.1,0.1,0.1,710,39%,Q9,#N/A,,,,,,,,,,
0-47,0,47,"2,2',3,4,4',6,6'-Heptachlorobiphenyl (BZ #184)",C12H3Cl7,395.3,391.8054,74472483,Pollutant,PCB,25.431,2307,26.191,2295,12.634,2335,12.686,,74472-48-3,"2,2',3,4,4',6,6'-Heptachlorobiphenyl (BZ #184)",12.634,false,393.8,Wide,323.8,Wide,10,25,0.1,0.1,0.1,1540,100%,Q0,#N/A,,,,,,,,,,
1-47,1,47,"2,2',3,4,4',6,6'-Heptachlorobiphenyl (BZ #184)",C12H3Cl7,395.3,391.8054,74472483,Pollutant,PCB,25.431,2307,26.191,2295,12.634,2335,12.686,,74472-48-3,"2,2',3,4,4',6,6'-Heptachlorobiphenyl (BZ #184)",12.634,false,395.8,Wide,325.8,Wide,10,25,0.1,0.1,0.1,980,64%,Q1,#N/A,,,,,,,,,,
2-47,2,47,"2,2',3,4,4',6,6'-Heptachlorobiphenyl (BZ #184)",C12H3Cl7,395.3,391.8054,74472483,Pollutant,PCB,25.431,2307,26.191,2295,12.634,2335,12.686,,74472-48-3,"2,2',3,4,4',6,6'-Heptachlorobiphenyl (BZ #184)",12.634,false,395.8,Wide,323.8,Wide,10,25,0.1,0.1,0.1,960,62%,Q2,#N/A,,,,,,,,,,
3-47,3,47,"2,2',3,4,4',6,6'-Heptachlorobiphenyl (BZ #184)",C12H3Cl7,395.3,391.8054,74472483,Pollutant,PCB,25.431,2307,26.191,2295,12.634,2335,12.686,,74472-48-3,"2,2',3,4,4',6,6'-Heptachlorobiphenyl (BZ #184)",12.634,false,323.8,Wide,253.8,Wide,10,35,0.1,0.1,0.1,600,39%,Q3,#N/A,,,,,,,,,,
4-47,4,47,"2,2',3,4,4',6,6'-Heptachlorobiphenyl (BZ #184)",C12H3Cl7,395.3,391.8054,74472483,Pollutant,PCB,25.431,2307,26.191,2295,12.634,2335,12.686,,74472-48-3,"2,2',3,4,4',6,6'-Heptachlorobiphenyl (BZ #184)",12.634,false,251.9,Wide,216.9,Wide,10,20,0.1,0.1,0.1,490,32%,Q4,#N/A,,,,,,,,,,
5-47,5,47,"2,2',3,4,4',6,6'-Heptachlorobiphenyl (BZ #184)",C12H3Cl7,395.3,391.8054,74472483,Pollutant,PCB,25.431,2307,26.191,2295,12.634,2335,12.686,,74472-48-3,"2,2',3,4,4',6,6'-Heptachlorobiphenyl (BZ #184)",12.634,false,323.8,Wide,251.8,Wide,10,35,0.1,0.1,0.1,400,26%,Q5,#N/A,,,,,,,,,,
6-47,6,47,"2,2',3,4,4',6,6'-Heptachlorobiphenyl (BZ #184)",C12H3Cl7,395.3,391.8054,74472483,Pollutant,PCB,25.431,2307,26.191,2295,12.634,2335,12.686,,74472-48-3,"2,2',3,4,4',6,6'-Heptachlorobiphenyl (BZ #184)",12.634,false,393.8,Wide,358.8,Wide,10,15,0.1,0.1,0.1,350,23%,Q6,#N/A,,,,,,,,,,
7-47,7,47,"2,2',3,4,4',6,6'-Heptachlorobiphenyl (BZ #184)",C12H3Cl7,395.3,391.8054,74472483,Pollutant,PCB,25.431,2307,26.191,2295,12.634,2335,12.686,,74472-48-3,"2,2',3,4,4',6,6'-Heptachlorobiphenyl (BZ #184)",12.634,false,251.9,Wide,181.9,Wide,10,30,0.1,0.1,0.1,320,21%,Q7,#N/A,,,,,,,,,,
8-47,8,47,"2,2',3,4,4',6,6'-Heptachlorobiphenyl (BZ #184)",C12H3Cl7,395.3,391.8054,74472483,Pollutant,PCB,25.431,2307,26.191,2295,12.634,2335,12.686,,74472-48-3,"2,2',3,4,4',6,6'-Heptachlorobiphenyl (BZ #184)",12.634,false,323.8,Wide,288.8,Wide,10,25,0.1,0.1,0.1,290,19%,Q8,#N/A,,,,,,,,,,
9-47,9,47,"2,2',3,4,4',6,6'-Heptachlorobiphenyl (BZ #184)",C12H3Cl7,395.3,391.8054,74472483,Pollutant,PCB,25.431,2307,26.191,2295,12.634,2335,12.686,,74472-48-3,"2,2',3,4,4',6,6'-Heptachlorobiphenyl (BZ #184)",12.634,false,395.8,Wide,360.8,Wide,10,15,0.1,0.1,0.1,280,18%,Q9,#N/A,,,,,,,,,,
0-48,0,48,"2,2',3,4,4',6-Hexachlorobiphenyl (BZ #139)",C12H4Cl6,360.9,357.8444,56030569,Pollutant,PCB,24.556,2255,25.276,2244,12.205,2282,12.169,,56030-56-9,"2,2',3,4,4',6-Hexachlorobiphenyl (BZ #139)",12.205,false,359.9,Wide,289.9,Wide,10,30,0.1,0.1,0.1,1830,100%,Q0,#N/A,,,,,,,,,,
1-48,1,48,"2,2',3,4,4',6-Hexachlorobiphenyl (BZ #139)",C12H4Cl6,360.9,357.8444,56030569,Pollutant,PCB,24.556,2255,25.276,2244,12.205,2282,12.169,,56030-56-9,"2,2',3,4,4',6-Hexachlorobiphenyl (BZ #139)",12.205,false,287.9,Wide,217.9,Wide,10,35,0.1,0.1,0.1,1410,77%,Q1,#N/A,,,,,,,,,,
2-48,2,48,"2,2',3,4,4',6-Hexachlorobiphenyl (BZ #139)",C12H4Cl6,360.9,357.8444,56030569,Pollutant,PCB,24.556,2255,25.276,2244,12.205,2282,12.169,,56030-56-9,"2,2',3,4,4',6-Hexachlorobiphenyl (BZ #139)",12.205,false,359.9,Wide,324.9,Wide,10,15,0.1,0.1,0.1,1340,73%,Q2,#N/A,,,,,,,,,,
3-48,3,48,"2,2',3,4,4',6-Hexachlorobiphenyl (BZ #139)",C12H4Cl6,360.9,357.8444,56030569,Pollutant,PCB,24.556,2255,25.276,2244,12.205,2282,12.169,,56030-56-9,"2,2',3,4,4',6-Hexachlorobiphenyl (BZ #139)",12.205,false,361.9,Wide,289.9,Wide,10,30,0.1,0.1,0.1,1150,63%,Q3,#N/A,,,,,,,,,,
4-48,4,48,"2,2',3,4,4',6-Hexachlorobiphenyl (BZ #139)",C12H4Cl6,360.9,357.8444,56030569,Pollutant,PCB,24.556,2255,25.276,2244,12.205,2282,12.169,,56030-56-9,"2,2',3,4,4',6-Hexachlorobiphenyl (BZ #139)",12.205,false,324.8,Wide,289.8,Wide,10,15,0.1,0.1,0.1,980,54%,Q4,#N/A,,,,,,,,,,
5-48,5,48,"2,2',3,4,4',6-Hexachlorobiphenyl (BZ #139)",C12H4Cl6,360.9,357.8444,56030569,Pollutant,PCB,24.556,2255,25.276,2244,12.205,2282,12.169,,56030-56-9,"2,2',3,4,4',6-Hexachlorobiphenyl (BZ #139)",12.205,false,289.9,Wide,219.9,Wide,10,35,0.1,0.1,0.1,900,49%,Q5,#N/A,,,,,,,,,,
6-48,6,48,"2,2',3,4,4',6-Hexachlorobiphenyl (BZ #139)",C12H4Cl6,360.9,357.8444,56030569,Pollutant,PCB,24.556,2255,25.276,2244,12.205,2282,12.169,,56030-56-9,"2,2',3,4,4',6-Hexachlorobiphenyl (BZ #139)",12.205,false,289.9,Wide,217.9,Wide,10,35,0.1,0.1,0.1,900,49%,Q6,#N/A,,,,,,,,,,
7-48,7,48,"2,2',3,4,4',6-Hexachlorobiphenyl (BZ #139)",C12H4Cl6,360.9,357.8444,56030569,Pollutant,PCB,24.556,2255,25.276,2244,12.205,2282,12.169,,56030-56-9,"2,2',3,4,4',6-Hexachlorobiphenyl (BZ #139)",12.205,false,359.9,Wide,287.8,Wide,10,30,0.1,0.1,0.1,840,46%,Q7,#N/A,,,,,,,,,,
8-48,8,48,"2,2',3,4,4',6-Hexachlorobiphenyl (BZ #139)",C12H4Cl6,360.9,357.8444,56030569,Pollutant,PCB,24.556,2255,25.276,2244,12.205,2282,12.169,,56030-56-9,"2,2',3,4,4',6-Hexachlorobiphenyl (BZ #139)",12.205,false,361.9,Wide,291.8,Wide,10,30,0.1,0.1,0.1,820,45%,Q8,#N/A,,,,,,,,,,
9-48,9,48,"2,2',3,4,4',6-Hexachlorobiphenyl (BZ #139)",C12H4Cl6,360.9,357.8444,56030569,Pollutant,PCB,24.556,2255,25.276,2244,12.205,2282,12.169,,56030-56-9,"2,2',3,4,4',6-Hexachlorobiphenyl (BZ #139)",12.205,false,361.9,Wide,326.8,Wide,10,15,0.1,0.1,0.1,800,44%,Q9,#N/A,,,,,,,,,,
0-49,0,49,"2,2',3,4,4',6'-Hexachlorobiphenyl (BZ #140)",C12H4Cl6,360.9,357.8444,59291644,Pollutant,PCB,24.667,2262,25.395,2251,12.262,2289,12.237,,59291-64-4,"2,2',3,4,4',6'-Hexachlorobiphenyl (BZ #140)",12.262,false,359.9,Wide,289.9,Wide,10,30,0.1,0.1,0.1,162,100%,Q0,#N/A,,,,,,,,,,
